timestamp,started,finished,onCourse,k5,k10,k15,k20,k25,k30,k35,k40,k45
2017-01-15 07:01:34,794,0,0,0,0,0,0,0,0,0,0,0
2017-01-15 07:04:03,1729,0,0,0,0,0,0,0,0,0,0,0
2017-01-15 07:06:36,2595,0,0,0,0,0,0,0,0,0,0,0
2017-01-15 07:08:59,3105,0,0,0,0,0,0,0,0,0,0,0
2017-01-15 07:11:22,3590,0,0,0,0,0,0,0,0,0,0,0
2017-01-15 07:13:42,4185,0,0,0,0,0,0,0,0,0,0,0
2017-01-15 07:27:40,7078,0,0,1139,0,0,0,0,0,0,0,0
2017-01-15 07:30:01,7347,0,0,1545,0,0,0,0,0,0,0,0
2017-01-15 07:32:24,7661,0,0,2123,13,0,0,0,0,0,0,0
2017-01-15 07:34:50,7861,0,0,2601,30,0,0,0,0,0,0,0
2017-01-15 07:37:11,8040,0,0,2951,60,0,0,0,0,0,0,0
2017-01-15 07:39:33,8242,0,0,3396,85,0,0,0,0,0,0,0
2017-01-15 07:41:53,8271,0,0,3736,133,0,0,0,0,0,0,0
2017-01-15 07:44:18,8313,0,0,4137,280,0,0,0,0,0,0,0
2017-01-15 07:46:39,8313,0,0,4613,460,2,0,0,0,0,0,0
2017-01-15 08:25:25,8315,0,0,8287,5493,1943,91,20,0,0,0,0
2017-01-15 08:27:46,8314,0,0,8291,5813,2151,109,23,0,0,0,0
2017-01-15 08:30:06,8313,0,0,8293,6123,2468,184,32,0,0,0,0
2017-01-15 08:32:33,8313,0,0,8288,6418,2765,246,40,0,0,0,0
2017-01-15 08:34:59,8357,0,0,8334,6722,3064,324,55,5,0,0,0
2017-01-15 08:37:32,8354,0,0,8332,7007,3312,425,62,10,0,0,0
2017-01-15 08:40:02,8354,0,0,8326,7171,3535,492,80,15,0,0,0
2017-01-15 08:42:32,8352,0,0,8324,7361,3758,615,96,20,0,0,0
2017-01-15 08:44:59,8347,0,0,8321,7512,4018,723,130,22,0,0,0
2017-01-15 08:47:27,8343,0,0,8318,7680,4310,943,183,31,0,0,0
2017-01-15 08:49:58,8341,0,0,8319,7811,4547,1111,228,36,0,0,0
2017-01-15 08:52:26,8335,0,0,8320,7937,4777,1292,287,52,5,0,0
2017-01-15 08:54:54,8328,0,0,8313,8020,5028,1496,374,55,9,0,0
2017-01-15 08:57:22,8323,0,0,8295,8103,5258,1706,429,65,12,0,0
2017-01-15 08:59:51,8317,0,0,8288,8157,5533,1925,509,75,17,0,0
2017-01-15 09:02:19,8312,0,0,8278,8197,5791,1950,599,90,20,0,0
2017-01-15 09:04:49,8306,0,0,8269,8215,6012,2428,703,116,27,0,0
2017-01-15 09:07:19,8295,0,0,8257,8215,6268,2633,882,147,29,4,0
2017-01-15 09:09:50,8284,0,0,8249,8214,6464,2683,1023,186,40,5,0
2017-01-15 09:12:22,8276,1,1,8243,8215,6671,3051,1174,218,47,10,1
2017-01-15 09:14:53,8267,4,4,8223,8199,6868,3238,1361,268,52,12,4
2017-01-15 09:17:24,8261,5,5,8220,8198,6989,3381,1487,318,58,13,5
2017-01-15 09:19:54,8251,9,9,8208,8190,7145,3558,1671,370,64,18,9
2017-01-15 09:22:14,8242,11,11,8197,8180,7256,3741,1840,432,76,21,11
2017-01-15 09:24:35,8234,13,13,8196,8180,7413,3955,2022,493,89,25,13
2017-01-15 09:26:56,8227,16,16,8197,8183,7492,4129,2257,559,112,27,16
2017-01-15 09:29:28,8218,21,21,8195,8181,7510,4327,2446,658,135,36,21
2017-01-15 09:31:52,8212,25,25,8162,8148,7489,4513,2609,786,159,43,25
2017-01-15 09:34:23,8198,27,27,8157,8144,7671,4739,2797,884,179,46,27
2017-01-15 09:36:54,8192,31,31,8155,8142,7755,4944,2974,1011,204,51,31
2017-01-15 09:39:26,8184,40,40,8156,8143,7803,5112,3103,1119,254,60,40
2017-01-15 09:41:46,8177,42,42,8119,8106,7832,5113,3303,1271,287,71,42
