timestamp,started,finished,onCourse,k5,k10,k15,k20,k25
2017-01-15 07:01:34,607,0,607,0,0,0,0,0
2017-01-15 07:04:03,1211,0,1211,0,0,0,0,0
2017-01-15 07:06:36,1686,0,1686,0,0,0,0,0
2017-01-15 07:08:59,2500,0,2500,1,0,0,0,0
2017-01-15 07:11:22,3205,0,3205,1,0,0,0,0
2017-01-15 07:13:42,3818,0,3818,0,0,0,0,0
2017-01-15 07:27:40,7886,0,7886,810,0,0,0,0
2017-01-15 07:30:01,8703,0,8703,1125,21,0,0,0
2017-01-15 07:32:24,9357,0,9357,1409,62,0,0,0
2017-01-15 07:34:50,10151,0,10151,1852,88,0,0,0
2017-01-15 07:37:11,10681,0,10681,2193,112,0,0,0
2017-01-15 07:39:33,11383,0,11383,2765,155,0,0,0
2017-01-15 07:41:53,11465,0,11465,3250,201,0,0,0
2017-01-15 07:44:18,11504,0,11504,3823,282,7,0,0
2017-01-15 07:46:39,11504,0,11504,4347,375,27,0,0
2017-01-15 08:25:25,11505,145,11360,11253,5303,1261,188,145
2017-01-15 08:27:46,11506,171,11335,11351,5686,1467,241,171
2017-01-15 08:30:06,11507,198,11309,11424,6033,1680,284,198
2017-01-15 08:32:33,11507,236,11271,11461,6355,1893,320,236
2017-01-15 08:34:59,11591,292,11299,11553,6870,2219,392,292
2017-01-15 08:37:32,11593,333,11260,11556,7197,2453,461,333
2017-01-15 08:40:02,11594,397,11197,11559,7618,2808,569,397
2017-01-15 08:42:32,11596,465,11131,11562,7961,3089,673,465
2017-01-15 08:44:59,11601,545,11056,11568,8277,3388,791,545
2017-01-15 08:47:27,11605,670,10935,11568,8681,3713,908,670
2017-01-15 08:49:58,11607,782,10825,11574,8986,3948,913,782
2017-01-15 08:52:26,11613,924,10689,11577,9382,4299,930,924
2017-01-15 08:54:54,11620,1055,10565,11584,9668,4619,1059,1055
2017-01-15 08:57:22,11626,1228,10398,11589,10004,4958,1590,1228
2017-01-15 08:59:51,11631,1370,10261,11595,10281,5258,1803,1370
2017-01-15 09:02:19,11636,1557,10079,11605,10537,5616,2029,1557
2017-01-15 09:04:49,11645,1740,9905,11614,10775,5911,2241,1742
2017-01-15 09:07:19,11652,1933,9719,11621,10910,6193,2433,1933
2017-01-15 09:09:50,11664,2167,9497,11627,11086,6520,2701,2167
2017-01-15 09:12:22,11673,2398,9275,11640,11227,6894,2956,2398
2017-01-15 09:14:53,11682,2604,9078,11642,11326,7144,3195,2604
2017-01-15 09:17:24,11688,2850,8838,11656,11415,7438,3465,2850
2017-01-15 09:19:54,11697,3066,8631,11654,11459,7735,3678,3066
2017-01-15 09:22:14,11706,3259,8447,11676,11524,7988,3872,3259
2017-01-15 09:24:35,11715,3532,8183,11684,11586,8289,4048,3532
2017-01-15 09:26:56,11723,3775,7948,11691,11637,8515,4058,3780
